id,business_name,category,service,contact_name,phone,email,website,address,notes,created_at,updated_at,computed_keywords,ckw_locked,ckw_version,ckw_manual_extra,keywords,ckw
153,"Thrive Pet Healthcare – Covenant Care Animal Hospital","Pet Care","Veterinary Clinic Animal Hospital","",2102495831,,https://www.thrivepetcare.com,"11841 Alamo Ranch Pkwy, Suite 112, San Antonio, Texas 78253","",,,"",,,,"",""
154,"Tippi Nail Bar","Beauty Wellness","Nail Salon","",2108868001,,https://tippinailbarsanantonio.com/,"6846 Alamo Pkwy #104, San Antonio, Tx 78253","New Management",,,"",,,,"",""
155,"Trek Bicycle San Antonio West",Bicycle,"Bicycle Sales Repair Services","",2106004161,,https://www.trekbikes.com/us/en_US/retail/san-antonio-west/,"11310 Culebra Rd Ste 117, San Antonio, Tx 78253","Early Drop, Fast Turn",,,"",,,,"",""
156,"Tri-V Nails","Beauty Wellness","Nail Salon",Kimberley,2104428585,,https://trivnailspa.com/,"11840 Alamo Ranch Pkwy, San Antonio, Tx 78253","",,,"",,,,"",""
157,"Tsaog Orthopaedics & Spine","Health Care",Orthopedics,"Dr Emmanuel Nwelue Dr. Josh Bell",2108045400,,https://www.tsaog.com/physicians/emmanuel-c-nwelue/,"11212 State Hwy 151, #150 San Antonio, Tx 78251","Personable, Understanding",,,"",,,,"",""
158,"Tsaog – Dr. Brian Kanz","Health Care",Orthopedics,"",2108045400,,https://www.briankanzmd.com/,"9150 Huebner Rd Ste 290, San Antonio, Tx 78240","",,,"",,,,"",""
159,"Tsaog – Dr. Gregory Naugher","Health Care",Orthopedics,"",2108045400,,https://www.tsaog.com/physicians/g-lane-naugher/,"11212 State Hwy 151, #150 San Antonio, Tx 78251","",,,"",,,,"",""
160,Ultravision,"Health Care",Ophthalmologist,"",2103085550,,https://lasik2c.com/?utm_source=GMBlisting,"6818 Heuermann Rd, Sa 78256","",,,"",,,,"",""
161,"Ut Health","Health Care",Dermatology,"Dr Shiu",2104501000,,https://cancer.uthscsa.edu/doctors-and-locations/doctors-and-clinics/valerie-shiu,"7979 Wurzbach Roadsan Antonio, Tx 78229","Mohs Surgery",,,"",,,,"",""
162,"Ut Health Marc","Health Care",Audiology,"",2105677000,,https://lsom.uthscsa.edu/otolaryngology/otology-and-audiology/,"7703 Floyd Curl Drive San Antonio, Tx 78229","Helpful Staff",,,"",,,,"",""
163,"Ut Health Orthopaedics","Health Care",Orthopedics,"Dr Chance Moore",2104509300,,https://directory.uthscsa.edu/academics/profile/moorecc,"7703 Floyd Curl Drive San Antonio, Tx 78229","Patient Recommends",,,"",,,,"",""
164,"Vaughn Endodontics","Health Care",Endodontics,"Dr. Gary Benjamin; Dr. Vaughn",2108242363,,https://www.vaughnendodontics.com/meet-us/gary-benjamin-dmd/,"11019 Culebra Rd Ste 160, San Antonio, Tx 78253","",,,"",,,,"",""
165,Vivint,Security,"Alarm Service","Jacob Moore",8444818630,,https://www.vivint.com/locations/texas/san-antonio,"15900 La Cantera Parkway #19210 San Antonio, Tx 78256",Responsive,,,"",,,,"",""
166,"Water Doctor","Home Repair & Trades","Water Softener Sales Service","",2105050555,,"","3211 Howling Wolf, San Antonio, Tx 78261","Many Hcr Customers",,,"",,,,"",""
167,"Westover Hills Dermatology","Health Care",Dermatology,"Dr. Mobolaji Opeola",8304652851,,https://westoverhillsdermatology.com/dr-mobolaji-opeola,"9018 Culebra Rd Ste 104, San Antonio, Tx 78251","",,,"",,,,"",""
168,"Whispering Oaks Dental","Health Care",Dental,"Dr. Barton",2102930696,,"","5531 W. Loop 1604 N Suite 115 Suite 115","",,,"",,,,"",""
169,"Wilks Air Conditioning","Home Repair & Trades","Hvac, Air Conditioning, Heating","Danny Wilks",2105349911,,https://wilksair.com/,"39 Waleetka St, San Antonio, Tx 78210","",,,"",,,,"",""
170,"Window Fashions Of Texas","Home Repair & Trades","Window Coverings","",2107917705,,https://windowfashionsoftexas.com/,"16151 College Oak #102, San Antonio, Tx 78249","",,,"",,,,"",""
171,"Your Retirement Solutions","Financial Tax Services","Financial Advisor","Jake Yetterberg",2104953711,,https://www.yetterberg.com/team/jake-yetterberg,"14400 Northbrook Drive Suite 100 San Antonio, Tx 78232","Retirement & Estate Focus",,,"",,,,"",""
172,"Z Dentist San Antonio","Health Care",Dental,"",2108029999,,https://www.z-dentist.com/,"7010 W Loop 1604 N, Suite 205, San Antonio, Texas 78254","",,,"",,,,"",""
